comment_id,parent_id,username,comment,comment_time,like_count,reply_count
18474383974072907,,jonnysatrio,Mentrinya usut jg baru adil,1755917563,0,0
17994268688821380,,octnss,gacor bgt,1755917588,0,0
18071145596147513,,xi_iyon,Ya Allah itu tandanya orang tidak pernah bersyukur.. dan selalu bersikap tamak dan rakus.. kalau sajah dia bisa melihat kebelakang dan berintrospeksi diri dia di kehidupan sebelumnya mungkin dia akan selamat.. begitulah roda kehidupan 😢,1755917656,0,0
17859990144416176,,freidenker_21,Mampus lo anjing!,1755917717,0,0
18520297582015553,,rumahembun_,"Orang kalo syok jadi OKB begini nih jadinya. Aji mumpung ! Mumpung liat duit banyak, buruan sikattttt !!!",1755917844,0,0
18072140725896532,,nomaden_09,"Sekarang lg viral"" nya si Noel ya kan, giliran di vonis hukuman  cuma beberapa tahun aja dan tahanan seperti rumah sendiri😅 eh tau2 nya gk kerasa udah keluar aja dari jeruji😂",1755917868,0,0
17972274329922029,,wanwantowanto521,"Nadim , gus yakult . Noel .sudh ga berkutik berikut si judol .dan yg di bumn 😂",1755917885,0,0
18397123771138229,,madenakolas,Kementerian terutama kementerian tenaga kerja banyak sarang korupsi jadi perlu ada menteri yang berintegritas 🔥🔥🔥i,1755917937,0,0
17862387660456327,,sofiadprahesti,Ga tau diri banget😒ga bersyukur jadi orang 🧐,1755917965,0,0
18104211004569933,,ahmadcendikiia,Tutorial jilatny King 😂,1755918234,0,0
18061065695582590,,nasyayaaa,Hmm sasaran mantap dijadiin tumbal,1755918285,0,0
18186375970325344,,mazhiimmm,,1755918390,0,0
18198616312313707,,niarsyafri,Tidak bersyukur🔥,1755918409,0,0
18351645250081627,,windyluthfiah,Welcome to another “titik gacor” : KPK,1755918550,0,0
17972667872773202,,odji_fauzi,Pak tolong spill dong pak motor yg dipake waktu jadi gojek 😂,1755918556,0,0
18370763944199855,,ricky_thamrin,Titik gacor ny berakhir di gedung merah putih,1755918689,0,0
18061931588594479,,hayy_freddy,Ah bntr lgi juga bebas.. kaya yg ono,1755918725,0,0
17876878584285061,,nabilafebrinaa,Slide pertama jd kek jamur shimeji 🥹,1755918745,0,0
17939542329059110,,theoreinald,"Gw gak nungguin moment drama d tangkap nya, yg gw PALING TUNGGUIN pas moment ponis nya saja, itu yg terpenting!",1755918751,0,0
17910498714084909,,ilhamfariq,How it should be to all of the buzzers careers end.,1755918792,0,0
18284545879258411,,ridhoparulianpulungan,Timnas Belanda calling 🔥🔥🔥,1755918794,0,0
18126487786419799,,natha_permana,PUAS,1755918911,0,0
17962831001974993,,atapetir,Penjilat sejati,1755918924,0,0
18274037899263888,,erik_bin_syarif,Dari Jaket Ijo ke Rompi Orange,1755918985,0,0
18074533286097717,,prastianarie,Masih belum percaya paling cuma formalitas,1755919134,0,0
17876101626397149,,nita_lusiana,Wowww. Sangat langka sekali SDM di negara ini ya? sampe2 mengangkat pejabat publik aja dari tukang ojol,1755919160,0,0
18075082097066300,,argakurnia22,Ini kalau maling ayam mah pasti udah babak belur,1755919182,0,0
18066286144977612,,bahradi.nf,"Info yg bikin gibran mania ,saya mau jadi anggota y",1755919238,0,0
17921290263110254,,haanniidh,"korupsi korupsi korupsi teros, kapan Indonesia ga ada korupsinya🙂",1755919254,0,0
18490255231067157,,viceejack,"Saran ke KPK 🇮🇩 kalau bisa menteri tenaga kerja di periksa , karena  biasanya di Instansi pemerintah, kementerian, BUMN, BUMD itu biasanya kalau korup atau mendapatkan uang haram mereka setor juga setiap bulannya atau per paket hasil uang haram ke pucuk pimpinan Instansi mereka !!!! Terima kasih",1755919309,0,0
18088336195783352,,humaidah__,"Jadi dia jadi mentri karna penah jadi simpatisan? Wkwkwkwk, coba kali ya ngikutin jalannya.",1755919378,0,0
18083261710884152,,cmelliasinenis,Aura punglinya udah keliatan maap🙏🏽😭,1755920592,0,0
18063321311192768,,jj_joju95,"Persoalan beliau menangis, seketika berubah jadi bahan empati di TT. Menyala Indonesiaku.",1755920773,0,0
